lat,lon
-37.8160191,144.9355523
-37.8248623,144.9402698
-37.8243625,144.9404083
-37.8244685,144.9403789
-37.8243252,144.9401876
-37.8242196,144.9402169
-37.804181,144.9447075
-37.8327074,144.9848178
-37.8328831,144.9839103
-37.8326695,144.9839528
-37.7959225,144.967259
-37.7960979,144.9688984
-37.7960611,144.9685541
-37.7960243,144.9682097
-37.7961817,144.9696844
-37.7962031,144.9698846
-37.7964735,144.9742219
-37.7973057,144.9698894
-37.7971163,144.9681295
-37.7971381,144.968332
-37.7971454,144.9683995
-37.7971526,144.968467
-37.8319014,144.9870059
-37.8315188,144.987012
-37.809894,144.9630249
-37.8350659,144.9841609
-37.8362701,144.9839076
-37.8369308,144.9837686
-37.8377574,144.9836801
-37.8377024,144.9836918
-37.8375922,144.9837152
-37.8370533,144.9860012
-37.8369988,144.9861525
-37.8130329,144.9674587
-37.813178,144.9666105
-37.8250272,144.9473044
-37.8250052,144.9473108
-37.8249062,144.9472168
-37.8256774,144.9714102
-37.8254675,144.9713428
-37.8175423,144.9604223
-37.8200206,144.9715537
-37.8341623,144.9855982
-37.8337056,144.985623
-37.8321798,144.9859442
-37.8314283,144.9861654
-37.8263352,144.9710993
-37.8275921,144.9711846
-37.8043039,144.9576888
-37.8001988,144.9711336
-37.8247505,144.9705502
-37.8246009,144.9704809
-37.7944693,144.9205682
-37.7946203,144.9207573
-37.8285913,144.971565
-37.8292974,144.9715406
-37.8296215,144.9715398
-37.8263789,144.9587481
-37.7965701,144.921687
-37.8225281,144.9658438
-37.8176915,144.9887385
-37.7982144,144.9535926
-37.8488586,144.980385
-37.8124162,144.9614232
-37.8021744,144.955912
-37.8223279,144.9532935
-37.8098066,144.9788338
-37.8397706,144.9770646
-37.8034491,144.9579681
-37.7999046,144.9727674
-37.7999122,144.9728367
-37.8137891,144.9532251
-37.8138065,144.9531642
-37.8138247,144.9531
-37.814628,144.9697388
-37.8158266,144.9726259
-37.8162052,144.9679857
-37.8162294,144.9719193
-37.8152629,144.9670122
-37.8125307,144.9728388
-37.8110853,144.9624755
-37.8083264,144.9521321
-37.8033246,144.9429239
-37.8042138,144.9426266
-37.806832,144.9515637
-37.8160088,144.969464
-37.8162912,144.9698406
-37.8045583,144.9447476
-37.8073986,144.9464708
-37.8115515,144.9685968
-37.8113091,144.9694187
-37.8103163,144.9668449
-37.8059834,144.9442327
-37.8191274,144.9620158
-37.8085134,144.9541035
-37.8076932,144.9535791
-37.8132205,144.9692419
-37.8060474,144.9496842
-37.8066053,144.9493145
-37.8202196,144.9548219
-37.8121073,144.9624875
-37.8132159,144.9586673
-37.8100332,144.9702431
-37.8095821,144.949495
-37.8091265,144.9491517
-37.8088876,144.9492283
-37.8067559,144.9471646
-37.8066364,144.9472942
-37.8310126,144.9716025
-37.8116269,144.9606231
-37.8155224,144.9874425
-37.8000688,144.9426806
-37.8178463,144.9543264
-37.8165192,144.9615338
-37.8138675,144.9600623
-37.8135767,144.9616714
-37.8276002,144.9675261
-37.8278105,144.9674625
-37.7905959,144.9392608
-37.8030101,144.9525309
-37.8141404,144.9576082
-37.8142479,144.9576576
-37.7957464,144.9458382
-37.7955434,144.9457323
-37.7946283,144.9314082
-37.8236234,144.9345298
-37.8231522,144.9339535
-37.8230362,144.9338108
-37.8229445,144.9339526
-37.8230336,144.9340615
-37.8234303,144.9345686
-37.8235296,144.9346899
-37.8366932,144.980811
-37.8311324,144.9668045
-37.8310568,144.9670617
-37.7992436,144.9573977
-37.814172,144.9556823
-37.8336065,144.9837629
-37.7851871,144.9595356
-37.8022818,144.954533
-37.8172884,144.9676624
-37.8170371,144.9685185
-37.7965225,144.9396489
-37.8092421,144.969275
-37.802934,144.9605343
-37.8025518,144.9619913
-37.8038818,144.9634733
-37.808464,144.9717034
-37.7885649,144.9251361
-37.8027072,144.9558257
-37.8028583,144.956674
-37.8042219,144.9554463
-37.8046112,144.9553763
-37.8046834,144.9553633
-37.8046353,144.955372
-37.8048125,144.9553401
-37.8053236,144.9552483
-37.8051586,144.955957
-37.8046498,144.956047
-37.8167843,144.9458508
-37.8038306,144.9501217
-37.8179913,144.9575924
-37.8125091,144.9614834
-37.8144747,144.9398976
-37.8145259,144.9399286
-37.8155704,144.9380075
-37.8130911,144.9367492
-37.8027983,144.969519
-37.8035779,144.9695381
-37.8038883,144.9693287
-37.8037303,144.9693561
-37.8066223,144.9688681
-37.8063009,144.9689232
-37.8129442,144.9540271
-37.809553,144.9811294
-37.8097022,144.9811046
-37.8054022,144.957152
-37.8051539,144.9573223
-37.804789,144.9572727
-37.8047791,144.9573886
-37.804185,144.9573659
-37.8048563,144.9633053
-37.8048072,144.9633138
-37.8126892,144.9835601
-37.816583,144.9559555
-37.8133021,144.9392875
-37.7991661,144.9703391
-37.8196602,144.9443653
-37.819677,144.9443073
-37.8156032,144.9358609
-37.8241253,144.9426418
-37.8244794,144.942956
-37.789252,144.9272167
-37.7937178,144.9454305
-37.796753,144.954398
-37.8029408,144.9739217
-37.8152059,144.9755553
-37.8158072,144.9810211
-37.8160308,144.9813519
-37.8272037,144.9676469
-37.8027321,144.9560945
-37.7868733,144.9692036
-37.7857667,144.9693933
-37.7860988,144.9693362
-37.7860433,144.9693457
-37.7883211,144.9689526
-37.7883753,144.9689434
-37.7907108,144.9685442
-37.7913384,144.9684335
-37.7910532,144.9684839
-37.7917952,144.9683567
-37.7904825,144.9685827
-37.793154,144.9658968
-37.7932116,144.9669595
-37.7934962,144.9666446
-37.7935866,144.9674497
-37.7937393,144.9673726
-37.7937949,144.9678658
-37.7912233,144.9617154
-37.7910962,144.9618365
-37.7916283,144.9607196
-37.791498,144.960488
-37.7914613,144.9604314
-37.7913914,144.9605881
-37.778265,144.9613825
-37.7927228,144.9593392
-37.793004,144.9588405
-37.7921019,144.9605369
-37.7920367,144.9607963
-37.7920359,144.9630883
-37.7937435,144.9652374
-37.7950548,144.9727803
-37.7952159,144.9725893
-37.7945655,144.9649214
-37.7944477,144.9649226
-37.7953638,144.9648052
-37.8080156,144.946111
-37.8034158,144.9633755
-37.8146675,144.9655691
-37.7783308,144.960397
-37.7786499,144.9603564
-37.7813175,144.9600255
-37.7812099,144.9600392
-37.7814246,144.9600126
-37.7805644,144.9601198
-37.7826169,144.9598654
-37.7822941,144.9599053
-37.7839051,144.9597051
-37.7874963,144.9592608
-37.7867432,144.9593546
-37.7886261,144.959122
-37.7885185,144.9591352
-37.8132371,144.9684361
-37.8141926,144.9686245
-37.8136931,144.971238
-37.8266058,144.9594364
-37.7976273,144.9343873
-37.7908219,144.9584316
-37.7907429,144.9588631
-37.7909148,144.9588422
-37.794899,144.9583656
-37.7945864,144.9584036
-37.7962195,144.9582039
-37.796447,144.9581757
-37.796333,144.9581898
-37.7958552,144.9582487
-37.7978313,144.958008
-37.7973172,144.9576346
-37.7974398,144.9711192
-37.8120066,144.9383857
-37.8241142,144.9604228
-37.809619,144.9695347
-37.8094666,144.9694647
-37.8094726,144.9693002
-37.8112249,144.9702702
-37.8143013,144.9668081
-37.8177168,144.9541911
-37.8160654,144.9694901
-37.7952575,144.9351484
-37.8025635,144.9422939
-37.8034004,144.9422612
-37.8098799,144.975732
-37.8104916,144.9753444
-37.8118265,144.975779
-37.8120443,144.9767283
-37.8120593,144.9768633
-37.8121278,144.9774936
-37.8119852,144.9761883
-37.8120078,144.9763937
-37.8119541,144.9759058
-37.8119426,144.9757988
-37.811235,144.9861873
-37.8118953,144.9870843
-37.8119326,144.9874217
-37.8118879,144.9870168
-37.7825932,144.9639065
-37.7830203,144.9638383
-37.7827528,144.963881
-37.7841071,144.9636633
-37.7845891,144.9635865
-37.7840016,144.9636801
-37.7845357,144.963595
-37.8107266,144.9765283
-37.8108638,144.9777892
-37.8108295,144.9774736
-37.8109517,144.9768884
-37.7796437,144.96273
-37.779389,144.9626536
-37.7818363,144.9631211
-37.7813529,144.9628175
-37.7812518,144.9627807
-37.8105371,144.978088
-37.8111377,144.978225
-37.8104732,144.978335
-37.8108269,144.9782787
-37.824645,144.9777171
-37.8247007,144.9777634
-37.8248955,144.9779249
-37.824627,144.977545
-37.8277249,144.9815828
-37.8263856,144.9792965
-37.8274517,144.9811655
-37.8273425,144.9809232
-37.8273987,144.9810443
-37.8275008,144.9812838
-37.8266405,144.9794515
-37.8264812,144.9794229
-37.8267904,144.9798942
-37.8269421,144.9801503
-37.8270408,144.9800995
-37.8264091,144.9793282
-37.8265531,144.9795228
-37.8261898,144.9790639
-37.8272653,144.9807584
-37.8262159,144.9789186
-37.8274348,144.9811249
-37.8260126,144.9788751
-37.8259178,144.9786192
-37.8256838,144.9785751
-37.8274846,144.9812446
-37.8262137,144.9790902
-37.8273064,144.980594
-37.8281082,144.9838124
-37.828086,144.9831087
-37.827896,144.9826603
-37.8277666,144.9820916
-37.8280003,144.982644
-37.8280025,144.9832375
-37.8278147,144.9818648
-37.8278317,144.981924
-37.8295044,144.9868629
-37.8296284,144.9869943
-37.7985016,144.9493103
-37.7985183,144.9493311
-37.7985516,144.9493726
-37.8084147,144.9598706
-37.8132752,144.9591483
-37.8122905,144.9542499
-37.8205737,144.9571461
-37.8076392,144.9685506
-37.8137533,144.9721539
-37.815109,144.9675357
-37.8154031,144.9594243
-37.8145543,144.9694287
-37.8143834,144.9700136
-37.8149422,144.9569649
-37.812512,144.957529
-37.8105759,144.9517211
-37.8116364,144.9527702
-37.8034964,144.9653065
-37.8035038,144.9653724
-37.8048981,144.9654903
-37.8055454,144.9662263
-37.8021905,144.9618406
-37.8048573,144.9600771
-37.8019902,144.9591378
-37.7983912,144.9707201
-37.7985222,144.9719352
-37.7986751,144.9723393
-37.8035965,144.9494357
-37.799457,144.9672456
-37.8097777,144.9525396
-37.8099274,144.9526189
-37.7950381,144.9717749
-37.795153,144.9728381
-37.8019057,144.9651134
-37.8012364,144.9622222
-37.8036651,144.9552211
-37.805571,144.9541639
-37.8046208,144.9507408
-37.8035747,144.9510403
-37.8039957,144.9509654
-37.8066895,144.954105
-37.8072448,144.9544846
-37.8074803,144.9530613
-37.8082134,144.9491011
-37.8120597,144.9486136
-37.7983249,144.9530494
-37.7993564,144.9511428
-37.8016936,144.9513736
-37.8024221,144.951244
-37.8249882,144.9613339
-37.8292747,144.9692606
-37.8068847,144.953504
-37.828449,144.96688
-37.7787595,144.9590962
-37.7792966,144.9585942
-37.7808313,144.9576396
-37.7913692,144.9577135
-37.8018647,144.9621131
-37.8103703,144.964844
-37.8138298,144.9411307
-37.7942777,144.9282942
-37.7813719,144.9510928
-37.8102863,144.9653166
-37.8306499,144.967118
-37.8434863,144.9842492
-37.8253432,144.9696689
-37.7991781,144.9279339
-37.8294926,144.9685197
-37.8422089,144.9778318
-37.8043737,144.9524045
-37.8279935,144.9685183
-37.8138647,144.9606795
-37.8142443,144.9550764
-37.7989903,144.9535642
-37.8080452,144.9607972
-37.8290752,144.9699441
-37.8239174,144.965813
-37.8242892,144.9657146
-37.8241052,144.9657702
-37.8246576,144.9656017
-37.8187882,144.9470447
-37.8210355,144.9434054
-37.8213248,144.9438724
-37.8210747,144.9428268
-37.8195824,144.9435531
-37.8204958,144.9455439
-37.820495,144.9504391
-37.8262297,144.9624777
-37.8263251,144.9627571
-37.8256379,144.9625654
-37.8251504,144.9631379
-37.8251227,144.9630124
-37.8243461,144.9639212
-37.8242276,144.9640605
-37.8241881,144.9641069
-37.824109,144.9641998
-37.8240695,144.9642462
-37.8141265,144.9742385
-37.828133,144.9733521
-37.8270677,144.9725248
-37.8305858,144.9756597
-37.7983766,144.9448753
-37.8203178,144.9424059
-37.8199481,144.9442934
-37.82025,144.9445329
-37.8200503,144.9430165
-37.8200341,144.943072
-37.8101911,144.9556133
-37.8105921,144.955797
-37.8126944,144.9709452
-37.8188209,144.9876891
-37.820074,144.9731898
-37.8200453,144.9731281
-37.8235508,144.9712012
-37.8241301,144.9715705
-37.8239598,144.9715893
-37.8236212,144.9713766
-37.8256469,144.9724424
-37.8203158,144.939702
-37.8201646,144.9393931
-37.8152089,144.9609343
-37.8129478,144.9405862
-37.8000906,144.965424
-37.8002566,144.9653955
-37.8139116,144.9562542
-37.8081678,144.9717081
-37.7928485,144.931837
-37.7928557,144.9319045
-37.809675,144.9487792
-37.8023659,144.956445
-37.8024782,144.9564248
-37.8047127,144.9572862
-37.804433,144.9573356
-37.8068803,144.9549927
-37.8077674,144.9602964
-37.8084804,144.9732199
-37.8168074,144.956058
-37.8201501,144.9486684
-37.8134962,144.9394058
-37.793752,144.9457308
-37.7937409,144.9456333
-37.7968653,144.9553522
-37.8157628,144.9806168
-37.8157481,144.9804821
-37.8132154,144.9421217
-37.8232595,144.9415332
-37.8231779,144.9412626
-37.7926914,144.9677277
-37.7930419,144.9669868
-37.7901918,144.9619225
-37.7909578,144.9619126
-37.7919969,144.96102
-37.7919698,144.9628888
-37.7978811,144.9575656
-37.8031892,144.9625245
-37.7789688,144.9603166
-37.7798148,144.9602116
-37.8264478,144.959622
-37.7911079,144.9583963
-37.8079948,144.9554916
-37.8026515,144.9423953
-37.8026769,144.9423907
-37.8119067,144.975472
-37.8121352,144.9775614
-37.8110742,144.9862145
-37.7876214,144.9628632
-37.8110378,144.9776782
-37.8143854,144.971729
-37.7788171,144.9622614
-37.8104298,144.9781057
-37.8241655,144.9772951
-37.7899636,144.9323363
-37.7929817,144.9331043
-37.7818377,144.9567872
-37.7817067,144.9562308
-37.7958473,144.9446512
-37.806883,144.9443298
-37.8068624,144.944344
-37.81086,144.9510549
-37.8176393,144.9553491
-37.8175962,144.9554985
-37.8457826,144.979309
-37.8453064,144.9791354
-37.8457298,144.9792897
-37.8459402,144.9793664
-37.8453602,144.979155
-37.8455186,144.9792127
-37.8036286,144.9572435
-37.8054684,144.9588972
-37.8160779,144.960747
-37.8122027,144.9698409
-37.8123094,144.9700301
-37.8123846,144.9697745
-37.7869416,144.9629769
-37.8044698,144.9603796
-37.8045787,144.9603608
-37.8045238,144.9603703
-37.8068591,144.9579993
-37.8107646,144.9513913
-37.8107299,144.9515148
-37.8096937,144.959084
-37.8096855,144.9595295
-37.8098235,144.959054
-37.8098978,144.958798
-37.8156096,144.9544447
-37.8144085,144.9699286
-37.8366644,144.9828831
-37.8080493,144.9459209
-37.7962378,144.9249033
-37.8201628,144.9556717
-37.8202742,144.9557226
-37.7985149,144.9371082
-37.798251,144.9370346
-37.7986289,144.9372618
-37.8107945,144.95994
-37.810831,144.9598122
-37.8119355,144.9383427
-37.8222621,144.9341456
-37.822585,144.9356835
-37.8226287,144.935891
-37.8217979,144.9344956
-37.8216988,144.9343672
-37.8217148,144.9344384
-37.8123832,144.96577
-37.8006366,144.9514449
-37.8007582,144.9514232
-37.8010618,144.9468456
-37.7977983,144.9744423
-37.8363129,144.9829549
-37.7943594,144.9480742
